rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
RF02445,Streptococcus sRNA SpR14,Gene; sRNA;,5,84,393,78.6,86,Rfam seed
RF02446,Streptococcus sRNA SpR18,Gene; sRNA;,23,141,2996,130.3,77,Rfam seed
RF02447,Streptococcus sRNA SpR19,Gene; sRNA;,23,198,2976,129.4,71,Rfam seed
RF02448,Streptococcus sRNA SpR20,Gene; sRNA;,7,45,315,45.0,90,Rfam seed
RF02449,Bacillus sRNA ncr1015,Gene; sRNA;,16,130,1896,118.5,71,Rfam seed
RF02450,Bacillus sRNA ncr1175,Gene; sRNA;,4,125,446,111.5,86,Rfam seed
RF02451,Bacillus sRNA ncr1241,Gene; sRNA;,8,72,505,63.1,70,Rfam seed
RF02452,Bacillus sRNA ncr1575,Gene; sRNA;,29,274,6120,211.0,68,Rfam seed
RF02453,Bacillus sRNA ncr952,Gene; sRNA;,6,149,858,143.0,83,Rfam seed
RF02454,Bacillus sRNA ncr982,Gene; sRNA;,6,81,472,78.7,79,Rfam seed
RF02455,Dianthovirus RNA2 cap-independent translation element,Cis-reg;,2,93,186,93.0,81,Rfam seed
RF02456,Dianthovirus RNA2 3'UTR stem loops,Cis-reg;,2,205,404,202.0,81,Rfam seed
RF02457,Tombusvirus 3' cap-independent translation element,Cis-reg;,9,171,1495,166.1,72,Rfam seed
RF02458,Aureusvirus cap-independent translation element,Cis-reg;,2,122,241,120.5,63,Rfam seed
RF02459,Necrovirus cap-independent translation element,Cis-reg;,5,89,415,83.0,72,Rfam seed
RF02460,Satellite tobacco necrosis virus cap-independent translation element,Cis-reg;,2,94,186,93.0,84,Rfam seed
RF02461,Blackcurrant reversion virus cap-independent translation element,Cis-reg;,3,115,333,111.0,85,Rfam seed
RF02462,Ascomycota telomerase RNA,Gene;,4,2153,7729,1932.2,69,Rfam seed
RF02463,Mycobacterium sRNA Ms_AS-1,Gene; sRNA;,5,99,491,98.2,80,Rfam seed
RF02464,Actinobacteria sRNA Ms_AS-4,Gene; sRNA;,9,87,741,82.3,79,Rfam seed
RF02465,Mycobacterium sRNA Ms_AS-5,Gene; sRNA;,9,45,405,45.0,85,Rfam seed
RF02466,Actinobacteria sRNA Ms_AS-8,Gene; sRNA;,10,80,735,73.5,78,Rfam seed
RF02467,Mycobacterium sRNA Ms_IGR-2,Gene; sRNA;,3,83,240,80.0,84,Rfam seed
RF02468,Mycobacterium sRNA Ms_IGR-4,Gene; sRNA;,2,38,76,38.0,95,Rfam seed
RF02469,Actinobacteria sRNA Ms_IGR-7,Gene; sRNA;,14,133,1653,118.1,72,Rfam seed
RF02470,Mycobacterium sRNA Ms_IGR-8,Gene; sRNA;,3,63,189,63.0,65,Rfam seed
RF02471,Actinobacteria sRNA Ms_IGR-5,Gene; sRNA;,21,269,3882,184.9,71,Rfam seed
RF02472,Giardia RNase MRP,Gene; ribozyme;,2,189,378,189.0,92,Rfam seed
RF02473,Small nucleolar RNA GlsR4,Gene; snRNA; snoRNA; CD-box;,2,61,122,61.0,90,Rfam seed
RF02474,Small nucleolar RNA GlsR5,Gene; snRNA; snoRNA; CD-box;,2,89,176,88.0,97,Rfam seed
RF02475,Small nucleolar RNA GlsR6,Gene; snRNA; snoRNA; CD-box;,3,59,177,59.0,90,Rfam seed
RF02476,Small nucleolar RNA GlsR7,Gene; snRNA; snoRNA; CD-box;,3,60,178,59.3,88,Rfam seed
RF02477,Small nucleolar RNA GlsR9,Gene; snRNA; snoRNA; CD-box;,2,79,154,77.0,93,Rfam seed
RF02478,Small nucleolar RNA GlsR10,Gene; snRNA; snoRNA; CD-box;,2,68,136,68.0,97,Rfam seed
RF02479,Small nucleolar RNA GlsR13,Gene; snRNA; snoRNA; CD-box;,3,100,300,100.0,93,Rfam seed
RF02480,Small nucleolar RNA GlsR14,Gene; snRNA; snoRNA; CD-box;,3,69,205,68.3,93,Rfam seed
RF02481,Small nucleolar RNA GlsR18,Gene; snRNA; snoRNA; HACA-box;,3,150,441,147.0,84,Rfam seed
RF02482,Small nucleolar RNA GlsR19,Gene; snRNA; snoRNA; HACA-box;,3,150,449,149.7,83,Rfam seed
RF02483,Small nucleolar RNA GlsR20,Gene; snRNA; snoRNA; HACA-box;,3,108,322,107.3,87,Rfam seed
RF02484,Small nucleolar RNA GlsR21,Gene; snRNA; snoRNA; HACA-box;,3,113,336,112.0,87,Rfam seed
RF02485,Small nucleolar RNA GlsR22,Gene; snRNA; snoRNA; HACA-box;,3,151,450,150.0,86,Rfam seed
RF02486,Small nucleolar RNA GlsR23,Gene; snRNA; snoRNA; HACA-box;,2,151,296,148.0,83,Rfam seed
RF02487,Small nucleolar RNA GlsR24,Gene; snRNA; snoRNA; HACA-box;,3,159,446,148.7,84,Rfam seed
RF02488,Small nucleolar RNA GlsR25,Gene; snRNA; snoRNA; HACA-box;,3,147,439,146.3,86,Rfam seed
RF02489,Small nucleolar RNA GlsR26,Gene; snRNA; snoRNA; HACA-box;,3,114,340,113.3,84,Rfam seed
RF02490,Small nucleolar RNA GlsR27,Gene; snRNA; snoRNA; HACA-box;,2,113,225,112.5,91,Rfam seed
RF02491,Giardia U1 spliceosomal RNA,Gene; snRNA; splicing;,2,121,241,120.5,89,Rfam seed
RF02492,Giardia U2 spliceosomal RNA,Gene; snRNA; splicing;,2,136,272,136.0,96,Rfam seed
RF02493,Giardia U4 spliceosomal RNA,Gene; snRNA; splicing;,2,95,190,95.0,93,Rfam seed
RF02494,Giardia U6 spliceosomal RNA,Gene; snRNA; splicing;,2,102,204,102.0,97,Rfam seed
RF02495,Oppression of Hydrophobic ORF by sRNA,Gene; antitoxin;,34,85,2609,76.7,90,Rfam seed
RF02496,Rhizobiales sRNA Atu_At1,Gene; sRNA;,33,131,3617,109.6,64,Rfam seed
RF02497,Rhizobiales sRNA Atu_C10,Gene; sRNA;,2,89,178,89.0,99,Rfam seed
RF02498,Rhizobiales sRNA Atu_C3,Gene; sRNA;,2,156,311,155.5,93,Rfam seed
RF02499,Rhizobiales sRNA Atu_C4,Gene; sRNA;,2,70,140,70.0,99,Rfam seed
RF02500,EcpR1,Gene; sRNA;,32,146,3545,110.8,67,Rfam seed
RF02501,Rhizobiales sRNA Atu_C7,Gene; sRNA;,3,158,472,157.3,90,Rfam seed
RF02502,Rhizobiales sRNA Atu_C8,Gene; sRNA;,27,137,3245,120.2,69,Rfam seed
RF02503,Rhizobiales sRNA Atu_C9,Gene; sRNA;,9,207,1708,189.8,74,Rfam seed
RF02504,Rhizobiales sRNA Atu_L1,Gene; sRNA;,4,174,696,174.0,93,Rfam seed
RF02505,Rhizobiales sRNA Atu_L6,Gene; sRNA;,3,125,371,123.7,83,Rfam seed
RF02506,Rhizobiales sRNA Atu_Ti1,Gene; sRNA;,14,95,1289,92.1,72,Rfam seed
RF02507,Rhizobiales sRNA Atu_Ti3,Gene; sRNA;,4,91,357,89.2,78,Rfam seed
RF02508,Rhizobiales sRNA Atu_Ti4,Gene; sRNA;,3,107,314,104.7,88,Rfam seed
RF02509,Pyrrolysine insertion sequence mtbB,Cis-reg;,23,101,2296,99.8,75,Rfam seed
RF02510,Pyrrolysine insertion sequence mttB,Cis-reg;,23,100,2300,100.0,63,Rfam seed
RF02511,Pyrrolysine insertion sequence TetR,Cis-reg;,2,100,200,100.0,81,Rfam seed
RF02512,Pyrrolysine insertion sequence transposase 1,Cis-reg;,17,100,1700,100.0,94,Rfam seed
RF02513,Pyrrolysine insertion sequence transposase 2,Cis-reg;,3,100,300,100.0,100,Rfam seed
RF02514,5' ureB small RNA,Gene; sRNA;,13,304,3792,291.7,76,Rfam seed
RF02515,AfaR small RNA,Gene; sRNA;,2,234,468,234.0,99,Rfam seed
RF02516,mir-393 microRNA precursor family,Gene; miRNA;,27,165,3194,118.3,62,Rfam seed
RF02517,mir-1017 microRNA precursor family,Gene; miRNA;,7,92,511,73.0,87,Rfam seed
RF02518,mir-2494 microRNA precursor family,Gene; miRNA;,10,133,1182,118.2,81,Rfam seed
RF02519,ToxI antitoxin,Gene; antitoxin;,5,34,170,34.0,88,Rfam seed
RF02520,mir-965 microRNA precursor family,Gene; miRNA;,16,81,1179,73.7,67,Rfam seed
RF02521,Pea enation mosaic virus-2 cap-independent translation element,Cis-reg;,2,85,170,85.0,89,Rfam seed
RF02522,Pea enation mosaic virus-2 cap-independent translation element,Cis-reg;,2,71,142,71.0,94,Rfam seed
RF02523,Repression of heat shock gene expression (ROSE) element,Cis-reg; thermoregulator;,16,79,1089,68.1,71,Rfam seed
RF02524,Streptococcus sRNA sagA,Gene; sRNA;,6,169,959,159.8,69,Rfam seed
RF02525,Streptococcus sRNA SSRC30,Gene; sRNA;,3,151,451,150.3,98,Rfam seed
RF02526,Streptococcus sRNA SSRC34,Gene; sRNA;,16,144,2080,130.0,83,Rfam seed
RF02527,Streptococcus sRNA SSRC38,Gene; sRNA;,3,182,514,171.3,98,Rfam seed
RF02528,Streptococcus sRNA SSRC41,Gene; sRNA;,8,114,876,109.5,81,Rfam seed
RF02529,Streptococcus sRNA SSRC8,Gene; sRNA;,3,150,450,150.0,95,Rfam seed
RF02530,Ure2 internal ribosome entry site (IRES),Cis-reg; IRES;,5,105,525,105.0,87,Rfam seed
RF02531,Nrf2 internal ribosome entry site (IRES),Cis-reg; IRES;,20,167,2569,128.4,81,Rfam seed
RF02532,Murine norovirus 3'UTR,Cis-reg;,10,242,2236,223.6,91,Rfam seed
RF02533,Hepatitis A virus (HAV) cis-acting replication element (CRE),Cis-reg;,2,114,228,114.0,91,Rfam seed
RF02534,Norovirus cis-acting replication element (CRE),Cis-reg;,21,52,1090,51.9,83,Rfam seed
RF02535,ODC internal ribosome entry site (IRES),Cis-reg; IRES;,13,193,1836,141.2,78,Rfam seed
RF02536,Avian encephalitis virus (AEV) cis-acting replication element (CRE),Cis-reg;,2,135,270,135.0,98,Rfam seed
RF02537,Vibrio ToxT activated RNA TarA,Gene; sRNA;,2,99,197,98.5,97,Rfam seed
RF02538,Vibrio ToxT activated RNA TarB,Gene; sRNA;,2,79,158,79.0,95,Rfam seed
RF02539,Plant small nucleolar RNA SNOR75,Gene; snRNA; snoRNA; CD-box;,6,89,522,87.0,87,Rfam seed
RF02540,Archaeal large subunit ribosomal RNA,Gene; rRNA;,91,4236,271770,2986.5,68,Rfam seed
RF02541,Bacterial large subunit ribosomal RNA,Gene; rRNA;,102,5241,301650,2957.4,68,Rfam seed
RF02542,Microsporidia small subunit ribosomal RNA,Gene; rRNA;,46,1752,61592,1339.0,67,Rfam seed
RF02543,Eukaryotic large subunit ribosomal RNA,Gene; rRNA;,88,8395,315346,3583.5,64,Rfam seed
RF02544,Mitochondrion-encoded tmRNA,Gene;,11,99,858,78.0,79,Rfam seed
RF02545,Trypanosomatid mitochondrial small subunit ribosomal RNA,Gene; rRNA;,4,634,2495,623.8,83,Rfam seed
RF02546,Trypanosomatid mitochondrial large subunit ribosomal RNA,Gene; rRNA;,6,573,2677,446.2,76,Rfam seed
RF02547,Permuted mitochondrial genome encoded 5S rRNA,Gene; rRNA;,6,106,632,105.3,84,Rfam seed
RF02548,Oocyte entry signal (OES) from oskar mRNA,Cis-reg;,14,68,924,66.0,80,Rfam seed
RF02550,RnaG sRNA,Gene; sRNA;,4,120,480,120.0,99,Rfam seed
RF02551,ABC transporter regulator,Cis-reg;,6,81,469,78.2,80,Rfam seed
RF02552,RcsR1 sRNA,Gene; sRNA;,10,101,969,96.9,81,Rfam seed
RF02553,Y RNA-like,Gene; sRNA;,6,125,653,108.8,66,Rfam seed
RF02554,mt-5S-like P. polycephalum,Gene; rRNA;,2,98,194,97.0,99,Rfam seed
RF02555,mt-5S-like H. vermiformis,Gene; rRNA;,7,124,831,118.7,100,Rfam seed
RF02556,snaR-A sRNA,Gene; sRNA;,5,115,575,115.0,96,Rfam seed
RF02557,Coxiella burnetii sRNA 1,Gene; sRNA;,2,112,224,112.0,100,Rfam seed
RF02558,Coxiella burnetii sRNA 2,Gene; antisense;,2,243,486,243.0,100,Rfam seed
RF02559,Coxiella burnetii sRNA 4,Gene; antisense;,2,196,392,196.0,99,Rfam seed
RF02560,Coxiella burnetii sRNA 9,Gene; antisense;,2,213,426,213.0,100,Rfam seed
RF02561,Coxiella burnetii sRNA 12,Gene; sRNA;,2,148,296,148.0,99,Rfam seed
RF02562,Coxiella burnetii sRNA 14,Gene; sRNA;,2,189,326,163.0,100,Rfam seed
RF02563,Coxiella burnetii sRNA 3,Gene; antisense;,2,198,396,198.0,99,Rfam seed
RF02564,Nucleoid-associated noncoding RNA 4 (CssrE),Gene; sRNA;,3,77,231,77.0,99,Rfam seed
RF02565,Y RNA-like,Gene; sRNA;,2,78,156,78.0,76,Rfam seed
RF02566,Mycobacterium smegmatis small RNA 1,Gene; sRNA;,4,318,1238,309.5,85,Rfam seed
RF02567,Vibrio alginolyticus sRNA 907,Gene; sRNA;,3,311,933,311.0,96,Rfam seed
RF02568,Escherichia coli small RNA (uptR) gene,Gene; sRNA;,3,92,274,91.3,96,Rfam seed
RF02569,IhtA sRNA,Gene; sRNA;,5,111,529,105.8,83,Rfam seed
RF02570,Brucella melitensis small RNA 0117,Gene; sRNA;,3,83,249,83.0,98,Rfam seed
RF02571,mcr7 sRNA,Gene; sRNA;,2,351,700,350.0,96,Rfam seed
RF02572,Brucella babR 5'UTR,Cis-reg;,3,134,402,134.0,99,Rfam seed
RF02573,Lactococcus lactis non-coding RNA 147,Gene; sRNA;,2,102,204,102.0,94,Rfam seed
RF02574,Rickettsia sRNA 10,Gene; sRNA;,3,360,1055,351.7,73,Rfam seed
RF02575,Drosophila melanogaster stable intronic sequence RNA 1,Gene;,3,427,1163,387.7,88,Rfam seed
RF02576,tsr1 small RNA,Gene; sRNA;,3,660,1806,602.0,94,Rfam seed
RF02577,S. aureus tsr24 small RNA,Gene; sRNA;,4,238,950,237.5,98,Rfam seed
RF02578,S. aureus tsr25 small RNA,Gene; sRNA;,3,183,544,181.3,100,Rfam seed
RF02579,S. aureus tsr26 small RNA,Gene; sRNA;,2,122,243,121.5,100,Rfam seed
RF02580,S. aureus tsr31 small RNA,Gene; sRNA;,4,70,278,69.5,95,Rfam seed
RF02581,S. aureus tsr32 small RNA,Gene; sRNA;,4,151,602,150.5,96,Rfam seed
RF02582,S. aureus tsr33 small RNA,Gene; sRNA;,2,85,170,85.0,95,Rfam seed
RF02583,S. aureus Teg23 small RNA,Gene; sRNA;,6,437,2602,433.7,98,Rfam seed
RF02584,KRAS 3' UTR cis-regulatory element,Cis-reg;,2,49,98,49.0,98,Rfam seed
RF02589,S. pyogenes small RNA 779816,Gene; sRNA;,4,89,350,87.5,79,Rfam seed
RF02590,S. pyogenes small RNA 1186876,Gene; sRNA;,3,246,732,244.0,95,Rfam seed
RF02591,S. pyogenes small RNA 1786666,Gene; sRNA;,2,87,173,86.5,98,Rfam seed
RF02592,S. pyogenes antisense RNA 392987,Gene; antisense;,3,63,188,62.7,96,Rfam seed
RF02593,Nitrogen stress-induced RNA 8,Gene; sRNA;,2,172,344,172.0,95,Rfam seed
RF02594,Nitrogen stress-induced RNA 9,Gene; sRNA;,3,123,368,122.7,86,Rfam seed
RF02595,Epstein-Barr virus stable intronic sequence RNA 1,Gene;,8,95,659,82.4,85,Rfam seed
RF02596,Cyanobacteria heterocyst sRNA,Gene; sRNA;,5,57,281,56.2,91,Rfam seed
RF02597,shuA/chuA 5' UTR thermoregulator,Cis-reg; thermoregulator;,5,32,160,32.0,100,Rfam seed
RF02598,Epstein-Barr virus stable intronic sequence RNA 2,Gene;,2,76,149,74.5,95,Rfam seed
RF02599,Brucella sRNA CI408,Gene; sRNA;,3,436,1286,428.7,99,Rfam seed
RF02600,Brucella sRNA CI27,Gene; sRNA;,3,167,501,167.0,99,Rfam seed
RF02601,Brucella sRNA CI337,Gene; sRNA;,4,191,763,190.8,98,Rfam seed
RF02602,Brucella sRNA CI414,Gene; sRNA;,3,229,684,228.0,96,Rfam seed
RF02603,Brucella sRNA CII26,Gene; sRNA;,2,190,379,189.5,100,Rfam seed
RF02604,Brucella sRNA CI153,Gene; sRNA;,2,214,428,214.0,92,Rfam seed
RF02605,Streptomyces sRNA scr5239,Gene; sRNA;,6,163,929,154.8,82,Rfam seed
RF02606,Acinetobacter sRNA 28,Gene; sRNA;,2,180,359,179.5,98,Rfam seed
RF02607,Acinetobacter sRNA 25,Gene; sRNA;,2,164,327,163.5,99,Rfam seed
RF02608,Acinetobacter sRNA 11,Gene; sRNA;,2,200,400,200.0,96,Rfam seed
RF02609,Brucella sRNA 0602,Gene; sRNA;,2,169,338,169.0,99,Rfam seed
RF02610,Brucella sRNA 0709,Gene; sRNA;,4,319,1271,317.8,100,Rfam seed
RF02611,Brucella sRNA 0653,Gene; sRNA;,4,644,2568,642.0,100,Rfam seed
RF02612,Brucella sRNA 1350,Gene; sRNA;,3,176,528,176.0,99,Rfam seed
RF02613,Brucella sRNA 0739,Gene; sRNA;,4,160,640,160.0,99,Rfam seed
RF02614,Brucella sRNA 1073,Gene; sRNA;,2,196,392,196.0,99,Rfam seed
RF02615,Brucella sRNA 0626,Gene; sRNA;,2,128,256,128.0,99,Rfam seed
RF02616,Streptococcus sRNA 8,Gene; sRNA;,2,281,562,281.0,97,Rfam seed
RF02617,Streptococcus sRNA 10,Gene; sRNA;,3,114,340,113.3,97,Rfam seed
RF02618,Streptococcus sRNA 34,Gene; sRNA;,3,125,375,125.0,99,Rfam seed
RF02619,Brucella sRNA 115,Gene; sRNA;,3,91,273,91.0,97,Rfam seed
RF02620,Brucella sRNA 119,Gene; sRNA;,3,90,270,90.0,97,Rfam seed
RF02621,Brucella sRNA 120,Gene; sRNA;,3,88,264,88.0,98,Rfam seed
RF02622,Brucella sRNA 121,Gene; sRNA;,2,116,232,116.0,99,Rfam seed
RF02623,Brucella sRNA 140,Gene; sRNA;,2,94,188,94.0,99,Rfam seed
RF02624,Brucella sRNA 150,Gene; sRNA;,2,44,88,44.0,95,Rfam seed
RF02625,Wolbachia sRNA 46,Gene; sRNA;,3,161,459,153.0,74,Rfam seed
RF02626,Wolbachia sRNA 59,Gene; sRNA;,2,89,177,88.5,76,Rfam seed
RF02627,Shigella small RNA 1,Gene; sRNA;,2,654,1307,653.5,100,Rfam seed
RF02628,Hfq-regulated sRNA 1,Gene; sRNA;,2,74,148,74.0,86,Rfam seed
RF02629,Regulator of motility and amylovoran A,Gene; sRNA;,2,113,226,113.0,99,Rfam seed
RF02630,Hfq-regulated sRNA 12,Gene; sRNA;,2,87,174,87.0,89,Rfam seed
RF02631,Hfq-regulated sRNA 13,Gene; sRNA;,2,82,163,81.5,88,Rfam seed
RF02632,Hfq-regulated sRNA 10,Gene; sRNA;,2,148,296,148.0,95,Rfam seed
RF02633,Hfq-regulated sRNA 21,Gene; sRNA;,2,135,269,134.5,95,Rfam seed
RF02634,Enterococcus sRNA EF3314_EF3315,Gene; sRNA;,2,141,282,141.0,99,Rfam seed
RF02635,Enterococcus sRNA EF0820_EF0821,Gene; sRNA;,2,370,740,370.0,100,Rfam seed
RF02636,Enterococcus sRNA EF1368_EF1369,Gene; sRNA;,4,628,2505,626.2,99,Rfam seed
RF02637,Enterococcus sRNA EF0408_EF0409,Gene; sRNA;,3,413,1237,412.3,98,Rfam seed
RF02638,Enterococcus sRNA EF0605_EF0606,Gene; sRNA;,2,179,355,177.5,100,Rfam seed
RF02639,Enterococcus sRNA EF0869_EF0870,Gene; sRNA;,4,474,1896,474.0,100,Rfam seed
RF02640,S. pyogenes small RNA MOSES4,Gene; sRNA;,3,176,527,175.7,99,Rfam seed
RF02641,S. pyogenes small RNA Spy490483c,Gene; sRNA;,3,99,295,98.3,99,Rfam seed
RF02642,S. pyogenes small RNA Spy491311c,Gene; sRNA;,2,143,285,142.5,100,Rfam seed
RF02643,S. pyogenes small RNA Spy491738,Gene; sRNA;,4,88,342,85.5,90,Rfam seed
RF02644,S. pyogenes small RNA Spy490380c,Gene; sRNA;,4,96,384,96.0,89,Rfam seed
RF02645,Ruegeria cis2 sRNA,Gene; sRNA;,2,153,306,153.0,80,Rfam seed
RF02646,Ruegeria cis8 sRNA,Gene; sRNA;,2,128,256,128.0,76,Rfam seed
RF02647,Ruegeria cis52 sRNA,Gene; sRNA;,2,179,358,179.0,88,Rfam seed
RF02648,Ruegeria cis90 sRNA,Gene; sRNA;,2,237,464,232.0,66,Rfam seed
RF02649,Ruegeria trans44 sRNA,Gene; sRNA;,2,267,532,266.0,85,Rfam seed
RF02650,Cag non-coding RNA1,Gene; sRNA;,3,213,639,213.0,98,Rfam seed
RF02651,Singlet oxygen resistance RNA Y,Gene; sRNA;,2,83,165,82.5,98,Rfam seed
RF02652,Salmonella enterica Typhi npcRNA 3,Gene; sRNA;,5,144,720,144.0,99,Rfam seed
RF02653,Salmonella enterica Typhi npcRNA 143,Gene; sRNA;,2,144,288,144.0,97,Rfam seed
RF02654,MicL sRNA,Gene; sRNA;,2,308,616,308.0,99,Rfam seed
RF02655,Brucella BSR0441 sRNA,Gene; sRNA;,5,240,1200,240.0,99,Rfam seed
RF02656,Sense overlapping transcript RNA 0042 (sot),Gene; sRNA;,2,174,348,174.0,93,Rfam seed
RF02657,Sense overlapping transcript RNA 2652 (sot),Gene; sRNA;,2,187,373,186.5,86,Rfam seed
RF02658,Rhopalosiphum padi virus 5'UTR internal ribosome entry site,Cis-reg; IRES;,2,579,1158,579.0,98,Rfam seed
RF02659,ncRv12659 sRNA,Gene; sRNA;,2,174,346,173.0,99,Rfam seed
RF02660,icaR 3'UTR,Cis-reg;,3,390,1170,390.0,100,Rfam seed
RF02661,icaR 5' UTR,Cis-reg;,2,75,150,75.0,99,Rfam seed
RF02662,Bacillus asRNA 0872,Gene; antisense;,2,144,288,144.0,99,Rfam seed
RF02663,GmglnB1 5'UTR,Cis-reg;,2,85,170,85.0,99,Rfam seed
RF02664,Cyp24a1 internal ribosome entry site (IRES),Cis-reg; IRES;,2,404,805,402.5,100,Rfam seed
RF02665,Drosophila small cajal body-specific RNA PsiU1-6,Gene; snRNA; snoRNA; scaRNA;,3,159,477,159.0,95,Rfam seed
RF02666,Drosophila small cajal body-specific RNA PsiU2-35.45,Gene; snRNA; snoRNA; scaRNA;,3,140,420,140.0,84,Rfam seed
RF02667,Drosophila small cajal body-specific RNA PsiU2-38.40.4,Gene; snRNA; snoRNA; scaRNA;,3,137,409,136.3,86,Rfam seed
RF02668,Drosophila small cajal body-specific RNA PsiU2-55,Gene; snRNA; snoRNA; scaRNA;,3,178,533,177.7,97,Rfam seed
RF02669,Drosophila small cajal body-specific RNA PsiU6-40,Gene; snRNA; snoRNA; scaRNA;,3,142,426,142.0,96,Rfam seed
RF02670,small Cajal body-specific RNA Dm46E3,Gene; snRNA; snoRNA; scaRNA;,2,137,274,137.0,98,Rfam seed
RF02671,Yersinia sRNA 35,Gene; sRNA;,3,339,1017,339.0,99,Rfam seed
RF02672,Small pathogenicity island RNA X,Gene; sRNA;,3,151,448,149.3,99,Rfam seed
RF02673,Streptomyces sRNA 4677,Gene; sRNA;,12,293,2991,249.2,74,Rfam seed
RF02674,antisense RNA of dnaA mRNA,Gene; antisense;,4,81,324,81.0,94,Rfam seed
RF02675,Yersinia sRNA 141,Gene; sRNA;,4,256,1020,255.0,84,Rfam seed
RF02676,Enterohemorrhagic E. coli sRNA 41,Gene; sRNA;,3,74,222,74.0,98,Rfam seed
RF02677,Nitrogen stress-induced RNA 4,Gene; sRNA;,4,67,259,64.8,86,Rfam seed
RF02678,Hatchet ribozyme,Gene; ribozyme;,155,228,20181,130.2,54,Rfam seed
RF02679,Pistol ribozyme,Gene; ribozyme;,45,89,2995,66.6,58,Rfam seed
RF02680,PreQ1-III riboswitch,Cis-reg; riboswitch;,31,105,3097,99.9,82,Rfam seed
RF02681,Twister_sister_ribozyme,Gene; ribozyme;,112,163,9167,81.8,66,Rfam seed
RF02682,HDV ribozyme from F. prausnitzii,Gene; ribozyme;,48,99,3545,73.9,65,Rfam seed
RF02683,NiCo riboswitch,Cis-reg; riboswitch;,83,240,8333,100.4,62,Rfam seed
RF02684,Type-P5 twister ribozyme,Gene; ribozyme;,215,171,13551,63.0,52,Rfam seed
RF02685,RAGATH-5 RNA,Gene; ribozyme;,39,59,2060,52.8,74,Rfam seed
RF02686,RAGATH-6 RNA,Gene; ribozyme;,2,152,301,150.5,87,Rfam seed
RF02687,RAGATH-8 RNA,Gene; sRNA;,69,347,18889,273.8,75,Rfam seed
RF02688,RAGATH-13 RNA,Gene; ribozyme;,20,98,1897,94.8,74,Rfam seed
RF02689,hilD 3'UTR,Cis-reg;,5,311,1549,309.8,88,Rfam seed
RF02690,Burkholderia sRNA 1,Gene; sRNA;,5,213,1019,203.8,84,Rfam seed
RF02691,Burkholderia sRNA 19,Gene; sRNA;,7,226,1557,222.4,81,Rfam seed
RF02692,Burkholderia sRNA 39,Gene; sRNA;,7,132,903,129.0,89,Rfam seed
RF02693,psm_mec locus RNA,Gene; sRNA;,4,162,590,147.5,91,Rfam seed
RF02694,RalR antitoxin,Gene; sRNA;,10,180,1791,179.1,95,Rfam seed
RF02695,Nitrogen regulated small RNA,Gene; sRNA;,4,238,911,227.8,80,Rfam seed
RF02696,Teg49 sRNA,Gene; sRNA;,6,196,1176,196.0,94,Rfam seed
RF02697,LDH1 5'UTR,Cis-reg;,4,102,408,102.0,97,Rfam seed
RF02698,Avalong 5' UTR thermometer,Cis-reg; thermoregulator;,2,131,262,131.0,86,Rfam seed
RF02699,Avashort 5' UTR thermometer,Cis-reg; thermoregulator;,2,59,117,58.5,91,Rfam seed
RF02700,HtrA 5' UTR thermometer,Cis-reg; thermoregulator;,4,46,184,46.0,94,Rfam seed
RF02701,Photosynthesis regulatory RNA1,Gene; sRNA;,13,116,1071,82.4,63,Rfam seed
RF02702,Anti GcvB sRNA,Gene; sRNA;,3,62,181,60.3,94,Rfam seed
RF02703,Anti stx2 sRNA,Gene; sRNA;,2,53,105,52.5,98,Rfam seed
RF02704,LcrF intergenic thermometer,Cis-reg; thermoregulator;,2,133,266,133.0,100,Rfam seed
RF02705,Brassica rapa small nucleolar RNA 775,Gene; snRNA; snoRNA; HACA-box;,2,127,254,127.0,96,Rfam seed
RF02706,TeloSII non coding RNA 30,Gene; sRNA;,2,226,452,226.0,94,Rfam seed
RF02707,TeloSII non coding RNA 33,Gene; sRNA;,3,301,882,294.0,92,Rfam seed
RF02708,TeloSII non coding RNA 40,Gene; sRNA;,2,162,322,161.0,94,Rfam seed
RF02709,TeloSII non coding RNA 43,Gene; sRNA;,4,290,1118,279.5,91,Rfam seed
RF02710,TeloSII non coding RNA 45,Gene; sRNA;,2,69,138,69.0,99,Rfam seed
RF02711,TeloSII non coding RNA 49,Gene; sRNA;,3,90,258,86.0,93,Rfam seed
RF02712,Epstein-Barr virus EBER2,Gene; sRNA;,3,173,519,173.0,97,Rfam seed
RF02713,Mycoplasma sRNA MCS4,Gene; sRNA;,5,126,617,123.4,92,Rfam seed
RF02714,Small nucleolar RNA psi28S-3378,Gene; snRNA; snoRNA; HACA-box;,8,157,1164,145.5,85,Rfam seed
RF02715,Small nucleolar RNA ncR1,Gene; snRNA; snoRNA; HACA-box;,5,111,547,109.4,87,Rfam seed
RF02716,Small nucleolar RNA ncR3,Gene; snRNA; snoRNA; CD-box;,5,75,373,74.6,82,Rfam seed
RF02717,Small nucleolar RNA ncR4,Gene; snRNA; snoRNA; CD-box;,3,82,246,82.0,89,Rfam seed
RF02718,Small Cajal body specific RNA ncR14,Gene; snRNA; snoRNA; scaRNA;,4,137,522,130.5,88,Rfam seed
RF02719,Small Cajal body specific RNA ncR20,Gene; snRNA; snoRNA; scaRNA;,2,104,207,103.5,100,Rfam seed
